sampling_weight,property_label,theme_entity_label,fluency_mean,fluency_median,adequacy_maj,adequacy_perc,had_descriptions,had_aliases,processed_verbalisation,datatype,entity_label,object_label,theme_group,weighted_fluency_mean,weighted_fluency_median,weighted_adequacy_maj,weighted_adequacy_perc
136.78571428571428,place served by transport hub,Airport,3.4,3.0,1,0.4,3,3,"Shiraz International Airport, Iran serves Shiraz as a transport hub.",wikibase-item,"Shiraz International Airport, Iran",Shiraz,WEBNLG_SEEN,465.07142857142856,410.35714285714283,136.78571428571428,54.714285714285715
272.7142857142857,elevation above sea level,Airport,4.2,5.0,1,0.4,3,3,Minna Airport is 834 feet above sea level.,quantity,Minna Airport,834 foot,WEBNLG_SEEN,1145.4,1363.5714285714287,272.7142857142857,109.08571428571429
1.0,conflict,Astronaut,4.0,4.0,1,0.4,3,2,Michael J Adams was involved in the Korean War.,wikibase-item,Michael J. Adams,Korean War,WEBNLG_SEEN,4.0,4.0,1.0,0.4
1.0,conflict,Astronaut,4.4,5.0,1,0.4,3,3,Buzz Aldrin was involved in the Korean War.,wikibase-item,Buzz Aldrin,Korean War,WEBNLG_SEEN,4.4,5.0,1.0,0.4
1.2857142857142858,ethnic group,Astronaut,3.8,4.0,1,0.19999999999999996,3,3,Soichi Noguchi is a dish from the ethnic group of Japanese people.,wikibase-item,Soichi Noguchi,Japanese people,WEBNLG_SEEN,4.885714285714286,5.142857142857143,1.2857142857142858,0.2571428571428571
193.6,post town,Building,4.285714285714286,4.0,1,0.0,1,0,Rikalantie 10 is a post town in Helsinki.,string,Rikalantie 10,Helsinki,WEBNLG_SEEN,829.7142857142857,774.4,193.6,0.0
7.666666666666668,follows,City,2.8,2.0,1,0.4,3,3,Ulvila is followed by Kullaa.,wikibase-item,Ulvila,Kullaa,WEBNLG_SEEN,21.46666666666667,15.333333333333336,7.666666666666668,3.0666666666666673
7.666666666666668,Köppen climate classification,City,4.0,4.0,1,0.4,3,1,Marawi is classified as a Tropical climate.,wikibase-item,Marawi,Tropical climate,WEBNLG_SEEN,30.66666666666667,30.66666666666667,7.666666666666668,3.0666666666666673
7.666666666666668,Köppen climate classification,City,3.0,3.0,1,0.19999999999999996,3,1,Candon is a member of the Köppen climate classification and is a tropical monsoon.,wikibase-item,Candon,tropical monsoon climate,WEBNLG_SEEN,23.000000000000004,23.000000000000004,7.666666666666668,1.5333333333333332
7.666666666666668,Köppen climate classification,City,4.8,5.0,1,0.19999999999999996,3,1,Edmonton has a humid continental climate.,wikibase-item,Edmonton,humid continental climate,WEBNLG_SEEN,36.800000000000004,38.33333333333334,7.666666666666668,1.5333333333333332
2.25,medical condition,ComicsCharacter,3.8,4.0,1,0.4,3,2,Ranma Saotome has ailurophobia.,wikibase-item,Ranma Saotome,ailurophobia,WEBNLG_SEEN,8.549999999999999,9.0,2.25,0.9
3.0,narrative age,ComicsCharacter,5.0,5.0,1,0.4,3,2,Cayenne is 56 years old.,quantity,Cayenne,56 years old,WEBNLG_SEEN,15.0,15.0,3.0,1.2000000000000002
1.0,opposite of,Food,4.6,5.0,1,0.4,3,3,Futter is the opposite of human food.,wikibase-item,fodder,human food,WEBNLG_SEEN,4.6,5.0,1.0,0.4
1.0,followed by,Food,3.8,4.0,1,0.4,3,2,The soup is followed by an appetizer.,wikibase-item,appetizer,soup,WEBNLG_SEEN,3.8,4.0,1.0,0.4
1.6666666666666667,facet of,Food,4.6,5.0,1,0.4,3,2,Antipasto is a traditional dish from Italy.,wikibase-item,antipasto,Italian cuisine,WEBNLG_SEEN,7.666666666666666,8.333333333333334,1.6666666666666667,0.6666666666666667
1.6666666666666667,facet of,Food,4.2,5.0,1,0.4,3,1,The facet of barrel wine is the same.,wikibase-item,barrel wine,barrel,WEBNLG_SEEN,7.000000000000001,8.333333333333334,1.6666666666666667,0.6666666666666667
2.1666666666666665,has listed ingredient,Food,4.0,4.0,1,0.4,3,2,Oreo contains a raising agent.,wikibase-item,Oreo,raising agent,WEBNLG_SEEN,8.666666666666666,8.666666666666666,2.1666666666666665,0.8666666666666667
2.1666666666666665,has listed ingredient,Food,3.4,4.0,1,0.4,3,2,Oleic acid is an ingredient in Oreo.,wikibase-item,Oreo,oleic acid,WEBNLG_SEEN,7.366666666666666,8.666666666666666,2.1666666666666665,0.8666666666666667
3.0,shape,Food,4.2,5.0,1,0.4,2,2,Djungelvrål is a monkey.,wikibase-item,Djungelvrål,monkey,WEBNLG_SEEN,12.600000000000001,15.0,3.0,1.2000000000000002
5.333333333333333,McCune-Reischauer romanization,Food,3.8,4.0,1,0.4,2,0,Osam bulgogi is a Romanized version of osam-pulgogi by McCune-Reischauer.,string,Osam bulgogi,osam-pulgogi,WEBNLG_SEEN,20.266666666666666,21.333333333333332,5.333333333333333,2.1333333333333333
30.5,fabrication method,Monument,3.0,4.0,1,0.19999999999999996,3,2,Fonte da Rampa do Mercado is made by rolling.,wikibase-item,Fonte da Rampa do Mercado,rolling,WEBNLG_SEEN,91.5,122.0,30.5,6.099999999999999
30.5,fabrication method,Monument,4.6,5.0,1,0.4,3,1,The Crucified Christ is made using gilding.,wikibase-item,Crucified Christ,gilding,WEBNLG_SEEN,140.29999999999998,152.5,30.5,12.200000000000001
5.0,authority,SportsTeam,4.4,5.0,1,0.4,2,2,The New Zealand Maori rugby league team is governed by the New Zealand Rugby League.,wikibase-item,New Zealand Maori rugby league team,New Zealand Rugby League,WEBNLG_SEEN,22.0,25.0,5.0,2.0
4.375,location of formation,SportsTeam,2.6,4.0,1,0.19999999999999996,3,3,Arkadi Rethymnou (women's basketball) is located in Rethymno.,wikibase-item,Arkadi Rethymnou (women's basketball),Rethymno,WEBNLG_SEEN,11.375,17.5,4.375,0.8749999999999998
4.375,location of formation,SportsTeam,3.8,4.0,1,0.4,2,1,Legnano (company) was formed in Legnano.,wikibase-item,Legnano (company),Legnano,WEBNLG_SEEN,16.625,17.5,4.375,1.75
31.625,general manager,SportsTeam,4.8,5.0,1,0.4,2,1,The general manager of Akros-Thömus is Giuseppe Lorenzetto.,wikibase-item,Akros-Thömus,Giuseppe Lorenzetto,WEBNLG_SEEN,151.79999999999998,158.125,31.625,12.65
75.875,season of club or team,SportsTeam,4.2,4.0,1,0.4,2,1,"AC Sparta Praha, who competed in the 2013 season, is a member of the club or team.",wikibase-item,2013 AC Sparta Praha,AC Sparta Praha Cycling,WEBNLG_SEEN,318.675,303.5,75.875,30.35
75.875,season of club or team,SportsTeam,3.2,3.0,1,0.19999999999999996,2,2,"Delko-Marseille Provence is in season of club or team, Delko Marseille Provence.",wikibase-item,2019 Delko-Marseille Provence,Delko Marseille Provence,WEBNLG_SEEN,242.8,227.625,75.875,15.174999999999997
75.875,season of club or team,SportsTeam,3.6,3.0,1,0.4,3,2,Caja Rural-Seguros RGA play in the 2010 season.,wikibase-item,Caja Rural 2010,Caja Rural-Seguros RGA,WEBNLG_SEEN,273.15000000000003,227.625,75.875,30.35
